ID,Num_Atoms,Tag,GDB_Index,A,B,C,Dipole,Alpha,HOMO,LUMO,Gap,R^2,ZPVE,U0,U298,H298,G298,Cv,SMILES,InChI,canonical_smiles,split
dsgdb9nsd_000065,11,gdb,65,8.30095,3.97615,2.93764,2.7429,42.87,-0.2704,0.0278,0.2983,440.0738,0.091554,-227.338075,-227.332253,-227.331309,-227.366638,19.946,CC(N)C#N,"InChI=1S/C3H6N2/c1-3(5)2-4/h3H,5H2,1H3	InChI=1S/C3H6N2/c1-3(5)2-4/h3H,5H2,1H3/t3-/m1/s1",CC(N)C#N,train
dsgdb9nsd_000068,13,gdb,68,7.66289,3.70925,2.79937,2.6921,46.58,-0.2469,-0.0188,0.2281,482.0475,0.112328,-232.364952,-232.358577,-232.357633,-232.394589,21.434,CC(C)C=O,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3	InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",CC(C)C=O,train
dsgdb9nsd_000074,12,gdb,74,10.01185,3.84195,2.87635,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,0.101735,-248.443503,-248.436899,-248.435955,-248.474272,20.967,CNC(C)=O,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)	InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",CNC(C)=O,train
dsgdb9nsd_000075,11,gdb,75,10.44045,4.04692,2.98547,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,0.091713,-264.504487,-264.498452,-264.497508,-264.533633,20.274,CNC(N)=O,"InChI=1S/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)	InChI=1S/C2H6N2O/c1-4-2(3)5/h1H3,(H3,3,4,5)",CNC(N)=O,train
dsgdb9nsd_000077,11,gdb,77,10.20392,4.16834,3.07281,1.7569,39.33,-0.2685,0.0174,0.2859,427.6606,0.089436,-268.32127,-268.315051,-268.314106,-268.351214,19.501,COC(C)=O,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3	InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,COC(C)=O,train
dsgdb9nsd_000080,10,gdb,80,10.14389,4.0714,3.02223,5.3004,35.19,-0.2527,0.0208,0.2735,408.0279,0.080317,-284.372483,-284.367172,-284.366228,-284.40095,17.931,[NH3+]CC([O-])=O,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",[NH3+]CC(=O)[O-],train
dsgdb9nsd_000082,13,gdb,82,6.6508,4.19317,3.39441,2.2854,42.01,-0.2597,0.0631,0.3228,438.3028,0.11345,-269.479234,-269.472993,-269.472049,-269.508213,22.072,CC(O)CO,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3	InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1",CC(O)CO,train
dsgdb9nsd_000083,17,gdb,83,7.26511,3.32874,2.54491,0.0618,56.26,-0.3085,0.085,0.3934,565.8412,0.159632,-197.629387,-197.622325,-197.621381,-197.659365,25.169,CCC(C)C,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3	InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",CCC(C)C,train
dsgdb9nsd_000085,15,gdb,85,7.55335,3.78323,2.80566,1.0758,49.8,-0.2476,0.086,0.3336,507.9614,0.135681,-233.545899,-233.539034,-233.53809,-233.57582,23.573,COC(C)C,"InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3	InChI=1S/C4H10O/c1-4(2)5-3/h4H,1-3H3",COC(C)C,train
dsgdb9nsd_000086,15,gdb,86,6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,0.137025,-196.409349,-196.403398,-196.402453,-196.437676,22.258,CC1(C)CC1,"InChI=1S/C5H10/c1-5(2)3-4-5/h3-4H2,1-2H3	InChI=1S/C5H10/c1-5(2)3-4-5/h3-4H2,1-2H3",CC1(C)CC1,train
dsgdb9nsd_000087,13,gdb,87,6.49534,5.52329,3.9108,1.8235,45.7,-0.2596,0.091,0.3505,405.521,0.112851,-232.335768,-232.329981,-232.329037,-232.364091,20.719,CC1(C)CO1,"InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3	InChI=1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3",CC1(C)CO1,train
dsgdb9nsd_000089,10,gdb,89,12.18399,5.1384,3.78868,2.5732,40.19,-0.263,0.0277,0.2907,352.0378,0.080558,-247.201165,-247.196699,-247.195755,-247.22841,15.51,N=C1CCO1,"InChI=1S/C3H5NO/c4-3-1-2-5-3/h4H,1-2H2	InChI=1S/C3H5NO/c4-3-1-2-5-3/h4H,1-2H2",N=C1CCO1,test
dsgdb9nsd_000091,10,gdb,91,12.23436,4.97895,3.70561,3.6671,39.73,-0.25,0.038,0.288,355.0934,0.080442,-247.225618,-247.220897,-247.219953,-247.253218,16.1,O=C1CCN1,"InChI=1S/C3H5NO/c5-3-1-2-4-3/h1-2H2,(H,4,5)	InChI=1S/C3H5NO/c5-3-1-2-4-3/h1-2H2,(H,4,5)",O=C1CCN1,test
dsgdb9nsd_000093,10,gdb,93,11.54185,4.90368,3.63309,2.5257,39.34,-0.2437,-0.0258,0.2179,359.152,0.07965,-247.190194,-247.185543,-247.184599,-247.217688,16.083,O=C1CNC1,"InChI=1S/C3H5NO/c5-3-1-4-2-3/h4H,1-2H2	InChI=1S/C3H5NO/c5-3-1-4-2-3/h4H,1-2H2",O=C1CNC1,test
dsgdb9nsd_000094,9,gdb,94,12.18264,4.94228,3.68162,0.8477,35.94,-0.2647,-0.0352,0.2295,344.5473,0.066989,-267.068488,-267.063976,-267.063032,-267.095887,15.115,O=C1COC1,InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2	InChI=1S/C3H4O2/c4-3-1-5-2-3/h1-2H2,O=C1COC1,train
dsgdb9nsd_000096,13,gdb,96,9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,0.11459,-232.33123,-232.325877,-232.324933,-232.359589,18.582,CC1CCO1,"InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3	InChI=1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3/t4-/m0/s1",CC1CCO1,train
dsgdb9nsd_000109,7,gdb,109,21.0592,2.92609,2.61064,3.6958,36.12,-0.3494,-0.0151,0.3344,429.0927,0.044642,-224.94466,-224.939832,-224.938888,-224.972334,15.259,N#CCC#N,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2	InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,N#CCC#N,train
dsgdb9nsd_000120,12,gdb,120,27.37372,2.3551,2.22921,2.9091,46.78,-0.2481,0.0251,0.2732,567.546,0.10111,-248.395289,-248.388824,-248.38788,-248.425185,20.343,COC=NC,"InChI=1S/C3H7NO/c1-4-3-5-2/h3H,1-2H3	InChI=1S/C3H7NO/c1-4-3-5-2/h3H,1-2H3",CN=COC,train
dsgdb9nsd_000125,10,gdb,125,29.69812,2.46416,2.34273,4.5445,40.22,-0.2859,0.008,0.2939,509.5881,0.078474,-247.198,-247.192237,-247.191293,-247.226866,18.14,COCC#N,"InChI=1S/C3H5NO/c1-5-3-2-4/h3H2,1H3	InChI=1S/C3H5NO/c1-5-3-2-4/h3H2,1H3",COCC#N,train
dsgdb9nsd_000127,10,gdb,127,27.12022,2.32375,2.19911,3.7158,39.41,-0.2914,0.0323,0.3237,519.4529,0.079045,-247.21445,-247.20867,-247.207726,-247.243281,18.636,OCCC#N,"InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2	InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2",N#CCCO,train
dsgdb9nsd_000128,13,gdb,128,20.60318,2.12564,2.08237,2.7552,47.03,-0.2487,-0.0195,0.2292,599.5103,0.112697,-232.36363,-232.357283,-232.356339,-232.39356,20.766,CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3	InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",CCCC=O,train
dsgdb9nsd_000130,11,gdb,130,18.87188,2.54729,2.47133,4.0425,40.48,-0.2778,0.0091,0.2868,510.9124,0.089832,-268.307873,-268.301991,-268.301047,-268.337439,18.727,CCOC=O,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3	InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",CCOC=O,test
dsgdb9nsd_000133,17,gdb,133,17.04187,1.92713,1.82903,0.0603,56.8,-0.3105,0.0925,0.403,721.0614,0.160138,-197.629416,-197.622321,-197.621376,-197.659721,24.552,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3	InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",CCCCC,train
dsgdb9nsd_000136,15,gdb,136,17.9608,2.23958,2.09578,0.9301,50.62,-0.2483,0.0931,0.3414,631.0818,0.136152,-233.547877,-233.541027,-233.540083,-233.578016,22.881,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",CCOCC,train
dsgdb9nsd_000138,13,gdb,138,20.79686,2.01268,1.9004,2.7191,42.52,-0.2607,0.0779,0.3386,618.0376,0.113242,-269.468415,-269.461727,-269.460783,-269.498456,22.005,OCCCO,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2	InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",OCCCO,train
dsgdb9nsd_000146,10,gdb,146,12.11336,4.15999,3.92501,2.03,40.19,-0.2639,-0.0381,0.2258,363.3567,0.079887,-247.184334,-247.179519,-247.178575,-247.211988,16.144,O=CC1CN1,"InChI=1S/C3H5NO/c5-2-3-1-4-3/h2-4H,1H2	InChI=1S/C3H5NO/c5-2-3-1-4-3/h2-4H,1H2/t3-/m1/s1",O=CC1CN1,train
dsgdb9nsd_000147,9,gdb,147,18.45912,3.25271,3.1231,2.3951,36.8,-0.2636,-0.0418,0.2217,402.0419,0.066465,-267.060326,-267.055484,-267.05454,-267.088115,15.818,O=CC1CO1,"InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2	InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2/t3-/m0/s1",O=CC1CO1,train
dsgdb9nsd_000148,10,gdb,148,14.7497,3.94953,3.42803,3.2517,40.77,-0.2555,-0.0013,0.2542,383.6013,0.079595,-247.192524,-247.187626,-247.186682,-247.22031,16.197,O=CN1CC1,"InChI=1S/C3H5NO/c5-3-4-1-2-4/h3H,1-2H2	InChI=1S/C3H5NO/c5-3-4-1-2-4/h3H,1-2H2",O=CN1CC1,train
dsgdb9nsd_000155,11,gdb,155,13.91383,3.41925,3.06432,1.7822,38.7,-0.2641,0.0777,0.3418,424.287,0.090736,-268.248806,-268.243491,-268.242547,-268.277228,18.033,OCC1CO1,"InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2	InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2/t3-/m0/s1",OCC1CO1,test
dsgdb9nsd_000156,13,gdb,156,7.29736,7.21425,3.92627,0.1413,50.34,-0.2335,0.0325,0.2661,375.5096,0.116471,-195.226072,-195.221411,-195.220467,-195.253489,17.052,C1CC=CC1,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2	InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",C1=CCCC1,train
dsgdb9nsd_000157,10,gdb,157,8.50694,8.12007,4.38248,1.6299,38.7,-0.2479,0.0241,0.272,315.6279,0.081779,-247.215049,-247.210764,-247.20982,-247.242343,14.168,C1CN=CO1,"InChI=1S/C3H5NO/c1-2-5-3-4-1/h3H,1-2H2	InChI=1S/C3H5NO/c1-2-5-3-4-1/h3H,1-2H2",C1=NCCO1,test
dsgdb9nsd_000159,15,gdb,159,6.46711,6.46539,3.72933,0.001,52.0,-0.3078,0.0844,0.3922,414.0869,0.140316,-196.432825,-196.427608,-196.426663,-196.462198,18.624,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2	InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,C1CCCC1,test
dsgdb9nsd_000160,13,gdb,160,7.13328,6.90764,3.97481,1.465,45.06,-0.2479,0.0825,0.3304,374.1439,0.116649,-232.351764,-232.346824,-232.34588,-232.380488,16.873,C1CCOC1,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,C1CCOC1,train
dsgdb9nsd_000162,13,gdb,162,9.13872,6.09542,4.76786,0.2527,48.92,-0.2519,0.0987,0.3506,350.7167,0.116089,-195.179738,-195.175335,-195.174391,-195.206606,16.868,C1C2CCC12,"InChI=1S/C5H8/c1-2-5-3-4(1)5/h4-5H,1-3H2	InChI=1S/C5H8/c1-2-5-3-4(1)5/h4-5H,1-3H2/t4-,5+",C1CC2CC12,test
dsgdb9nsd_000165,9,gdb,165,9.66859,9.44683,4.77821,2.2277,39.17,-0.2438,0.0239,0.2677,284.6224,0.071284,-226.144377,-226.140644,-226.1397,-226.170637,13.255,N1C=CC=N1,"InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)	InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",c1cn[nH]c1,train
dsgdb9nsd_000169,8,gdb,169,10.3093,9.81117,5.02703,0.0597,35.3,-0.2742,-0.0055,0.2687,265.6333,0.059852,-242.18601,-242.182459,-242.181515,-242.212163,11.936,N1N=CC=N1,"InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)	InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)",c1cn[nH]n1,train
dsgdb9nsd_000170,8,gdb,170,9.8405,9.63861,4.86926,2.8629,35.74,-0.2677,-0.0138,0.2538,272.9362,0.058014,-245.994065,-245.9905,-245.989556,-246.020256,12.232,O1C=CC=N1,InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H	InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H,c1cnoc1,train
dsgdb9nsd_000172,7,gdb,172,10.39572,10.14933,5.13552,1.126,31.56,-0.3054,-0.0335,0.2719,253.56,0.046608,-262.056533,-262.053124,-262.05218,-262.082625,11.003,O1C=NC=N1,InChI=1S/C2H2N2O/c1-3-2-5-4-1/h1-2H	InChI=1S/C2H2N2O/c1-3-2-5-4-1/h1-2H,c1ncon1,train
dsgdb9nsd_000174,6,gdb,174,10.78306,10.41182,5.2971,2.8915,28.58,-0.331,-0.0643,0.2667,239.8863,0.033398,-278.075775,-278.072348,-278.071404,-278.101859,10.82,O1C=NN=N1,InChI=1S/CHN3O/c1-2-3-4-5-1/h1H	InChI=1S/CHN3O/c1-2-3-4-5-1/h1H,c1nnno1,train
dsgdb9nsd_000177,5,gdb,177,11.4029,10.6093,5.4959,0.6581,25.66,-0.3671,-0.1073,0.2598,226.0123,0.020349,-294.081616,-294.078226,-294.077281,-294.10766,10.401,O1N=NN=N1,InChI=1S/N4O/c1-2-4-5-3-1	InChI=1S/N4O/c1-2-4-5-3-1,n1nnon1,train
dsgdb9nsd_000180,15,gdb,180,6.7828,2.18539,1.85356,0.6759,56.46,-0.239,0.0173,0.2562,699.8479,0.129195,-287.662612,-287.654946,-287.654001,-287.694375,26.442,CCC(C)=NO,"InChI=1S/C4H9NO/c1-3-4(2)5-6/h6H,3H2,1-2H3	InChI=1S/C4H9NO/c1-3-4(2)5-6/h6H,3H2,1-2H3",CCC(C)=NO,test
dsgdb9nsd_000182,12,gdb,182,9.72664,2.54748,2.08411,1.2383,49.95,-0.23,0.0026,0.2326,576.9778,0.096619,-302.472397,-302.466506,-302.465561,-302.501719,20.934,ON=C1CNC1,"InChI=1S/C3H6N2O/c6-5-3-1-4-2-3/h4,6H,1-2H2	InChI=1S/C3H6N2O/c6-5-3-1-4-2-3/h4,6H,1-2H2",ON=C1CNC1,train
dsgdb9nsd_000186,9,gdb,186,9.19863,4.12641,2.84857,3.6351,40.77,-0.2262,0.0118,0.238,424.2581,0.062567,-321.236907,-321.232405,-321.231461,-321.264644,16.38,N=C1OC=CO1,"InChI=1S/C3H3NO2/c4-3-5-1-2-6-3/h1-2,4H	InChI=1S/C3H4NO2/c4-3-5-1-2-6-3/h1-4H",N=c1occo1,train
dsgdb9nsd_000187,10,gdb,187,9.01341,3.89637,2.72039,3.6997,43.39,-0.1951,0.0406,0.2357,444.2644,0.075511,-301.405558,-301.400597,-301.399653,-301.433583,18.314,O=C1NC=CN1,"InChI=1S/C3H4N2O/c6-3-4-1-2-5-3/h1-2H,(H2,4,5,6)	InChI=1S/C3H4N2O/c6-3-4-1-2-5-3/h1-2H,(H2,4,5,6)",O=c1[nH]cc[nH]1,train
dsgdb9nsd_000188,9,gdb,188,9.20111,4.03528,2.80507,4.6537,39.72,-0.2215,0.0207,0.2422,425.4583,0.063077,-321.276274,-321.271636,-321.270692,-321.3041,16.761,O=C1NC=CO1,"InChI=1S/C3H3NO2/c5-3-4-1-2-6-3/h1-2H,(H,4,5)	InChI=1S/C3H3NO2/c5-3-4-1-2-6-3/h1-2H,(H,4,5)",O=c1[nH]cco1,train
dsgdb9nsd_000194,12,gdb,194,8.80085,3.53327,2.54719,1.5102,51.62,-0.185,0.0556,0.2406,495.5949,0.099063,-265.441614,-265.436072,-265.435128,-265.470365,20.507,NC1=CC=CN1,"InChI=1S/C4H6N2/c5-4-2-1-3-6-4/h1-3,6H,5H2	InChI=1S/C4H6N2/c5-4-2-1-3-6-4/h1-3,6H,5H2",Nc1ccc[nH]1,test
dsgdb9nsd_000197,10,gdb,197,9.35884,3.9125,2.76625,1.8589,43.86,-0.2088,0.0284,0.2373,444.8744,0.075481,-301.381127,-301.376265,-301.375321,-301.409022,17.958,NC1=NC=CO1,"InChI=1S/C3H4N2O/c4-3-5-1-2-6-3/h1-2H,(H2,4,5)	InChI=1S/C3H4N2O/c4-3-5-1-2-6-3/h1-2H,(H2,4,5)",Nc1ncco1,train
dsgdb9nsd_000198,11,gdb,198,8.91138,3.62931,2.57898,0.9982,47.38,-0.1814,0.0635,0.2449,474.5019,0.0864,-285.320198,-285.314886,-285.313942,-285.348469,19.901,OC1=CC=CN1,"InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1-3,5-6H	InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1-3,5-6H",Oc1ccc[nH]1,test
dsgdb9nsd_000199,10,gdb,199,9.43187,3.67479,2.64447,2.938,43.45,-0.2022,0.0448,0.247,453.0651,0.075256,-301.377995,-301.372972,-301.372028,-301.40609,18.316,OC1=CN=CN1,"InChI=1S/C3H4N2O/c6-3-1-4-2-5-3/h1-2,6H,(H,4,5)	InChI=1S/C3H4N2O/c6-3-1-4-2-5-3/h1-2,6H,(H,4,5)",Oc1cnc[nH]1,train
dsgdb9nsd_000201,13,gdb,201,8.67353,3.34371,2.44992,1.6978,55.32,-0.1982,0.0533,0.2515,528.9258,0.109903,-249.395323,-249.38964,-249.388696,-249.424242,20.948,CC1=CNC=C1,"InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3	InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3",Cc1cc[nH]c1,train
