mol_id,n_atoms,real_bonds,qtaim_bonds,elf_bonds,qtaim_real,qtaim_nonbond,qtaim_missing,elf_coverage,qtaim_coverage
dsgdb9nsd_058932,23,25,11,25,4,7,21,100%,16%
dsgdb9nsd_095264,21,23,15,23,5,10,18,100%,22%
dsgdb9nsd_019913,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_014547,17,18,12,18,7,5,11,100%,39%
dsgdb9nsd_000447,11,11,8,11,6,2,5,100%,55%
dsgdb9nsd_092260,18,20,15,20,8,7,12,100%,40%
dsgdb9nsd_000359,14,13,8,13,5,3,8,100%,38%
dsgdb9nsd_024344,18,19,14,19,9,5,10,100%,47%
dsgdb9nsd_024636,18,19,13,19,7,6,12,100%,37%
dsgdb9nsd_084676,21,22,15,22,5,10,17,100%,23%
dsgdb9nsd_092723,21,22,14,22,7,7,15,100%,32%
dsgdb9nsd_095705,20,20,12,20,5,7,15,100%,25%
dsgdb9nsd_121367,23,23,13,23,7,6,16,100%,30%
dsgdb9nsd_099016,17,16,14,16,7,7,9,100%,44%
dsgdb9nsd_024962,11,12,11,12,9,2,3,100%,75%
dsgdb9nsd_089351,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_130243,12,12,10,12,8,2,4,100%,67%
dsgdb9nsd_040201,18,20,13,20,7,6,13,100%,35%
dsgdb9nsd_079141,20,22,16,22,7,9,15,100%,32%
dsgdb9nsd_087155,21,22,13,22,8,5,14,100%,36%
dsgdb9nsd_013495,18,18,13,18,9,4,9,100%,50%
dsgdb9nsd_083194,16,17,13,17,6,7,11,100%,35%
dsgdb9nsd_074507,15,16,11,16,7,4,9,100%,44%
dsgdb9nsd_119425,23,24,13,24,6,7,18,100%,25%
dsgdb9nsd_009672,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_122433,25,25,13,24,5,8,20,96%,20%
dsgdb9nsd_000498,10,9,7,8,6,1,3,89%,67%
dsgdb9nsd_074178,19,20,12,20,5,7,15,100%,25%
dsgdb9nsd_011230,18,18,12,18,6,6,12,100%,33%
dsgdb9nsd_091447,21,22,12,22,5,7,17,100%,23%
dsgdb9nsd_119494,20,22,14,22,7,7,15,100%,32%
dsgdb9nsd_000610,13,13,8,13,4,4,9,100%,31%
dsgdb9nsd_067883,17,19,13,19,8,5,11,100%,42%
dsgdb9nsd_130673,13,14,12,14,9,3,5,100%,64%
dsgdb9nsd_126505,19,19,10,19,4,6,15,100%,21%
dsgdb9nsd_098579,17,17,13,17,7,6,10,100%,41%
dsgdb9nsd_102638,27,26,14,26,6,8,20,100%,23%
dsgdb9nsd_120357,18,18,13,18,8,5,10,100%,44%
dsgdb9nsd_009308,19,18,11,17,6,5,12,94%,33%
dsgdb9nsd_124653,18,18,12,18,5,7,13,100%,28%
dsgdb9nsd_056727,13,13,9,12,5,4,8,92%,38%
dsgdb9nsd_051210,18,20,11,20,6,5,14,100%,30%
dsgdb9nsd_096595,23,23,13,23,6,7,17,100%,26%
dsgdb9nsd_130520,11,12,11,12,9,2,3,100%,75%
dsgdb9nsd_040671,21,23,13,23,6,7,17,100%,26%
dsgdb9nsd_062575,23,25,17,25,7,10,18,100%,28%
dsgdb9nsd_083303,17,18,11,18,5,6,13,100%,28%
dsgdb9nsd_059963,22,21,13,21,7,6,14,100%,33%
dsgdb9nsd_025012,13,14,11,14,7,4,7,100%,50%
dsgdb9nsd_024560,16,16,14,16,9,5,7,100%,56%
dsgdb9nsd_109053,20,21,12,21,6,6,15,100%,29%
dsgdb9nsd_067157,16,18,13,18,5,8,13,100%,28%
dsgdb9nsd_019476,22,23,14,22,5,9,18,96%,22%
dsgdb9nsd_025222,15,16,13,16,8,5,8,100%,50%
dsgdb9nsd_015195,22,22,13,22,6,7,16,100%,27%
dsgdb9nsd_086529,19,19,13,19,8,5,11,100%,42%
dsgdb9nsd_064539,16,18,14,18,6,8,12,100%,33%
dsgdb9nsd_059867,23,22,15,22,10,5,12,100%,45%
dsgdb9nsd_026026,16,16,13,16,8,5,8,100%,50%
dsgdb9nsd_067489,17,19,13,19,6,7,13,100%,32%
dsgdb9nsd_047638,15,15,10,15,4,6,11,100%,27%
dsgdb9nsd_003098,17,17,12,17,4,8,13,100%,24%
dsgdb9nsd_086989,19,19,10,19,6,4,13,100%,32%
dsgdb9nsd_068550,18,20,15,20,7,8,13,100%,35%
dsgdb9nsd_008131,14,15,9,15,5,4,10,100%,33%
dsgdb9nsd_056583,21,21,11,21,5,6,16,100%,24%
dsgdb9nsd_112866,21,21,13,21,6,7,15,100%,29%
dsgdb9nsd_115204,23,23,14,23,5,9,18,100%,22%
dsgdb9nsd_113504,18,19,14,18,9,5,10,95%,47%
dsgdb9nsd_119628,21,22,14,22,8,6,14,100%,36%
dsgdb9nsd_029977,17,18,13,18,6,7,12,100%,33%
dsgdb9nsd_130521,13,14,11,14,4,7,10,100%,29%
dsgdb9nsd_105994,18,21,14,21,7,7,14,100%,33%
dsgdb9nsd_129203,13,13,11,13,6,5,7,100%,46%
dsgdb9nsd_002292,19,19,12,19,6,6,13,100%,32%
dsgdb9nsd_047587,21,22,13,22,5,8,17,100%,23%
dsgdb9nsd_041440,18,21,13,20,8,5,13,95%,38%
dsgdb9nsd_060002,21,21,17,21,8,9,13,100%,38%
dsgdb9nsd_046036,20,21,13,21,5,8,16,100%,24%
dsgdb9nsd_082992,21,23,15,23,5,10,18,100%,22%
dsgdb9nsd_115185,17,17,13,17,6,7,11,100%,35%
dsgdb9nsd_082707,19,21,11,21,4,7,17,100%,19%
dsgdb9nsd_029228,14,14,12,14,9,3,5,100%,64%
dsgdb9nsd_070988,19,21,13,21,5,8,16,100%,24%
dsgdb9nsd_008879,18,17,14,17,7,7,10,100%,41%
dsgdb9nsd_075128,17,17,10,17,4,6,13,100%,24%
dsgdb9nsd_131483,16,17,12,17,6,6,11,100%,35%
dsgdb9nsd_083735,21,23,13,23,4,9,19,100%,17%
dsgdb9nsd_028198,20,21,14,21,7,7,14,100%,33%
dsgdb9nsd_057038,16,16,11,15,5,6,11,94%,31%
dsgdb9nsd_067240,15,17,11,17,4,7,13,100%,24%
dsgdb9nsd_025829,14,13,13,11,9,4,4,85%,69%
dsgdb9nsd_092744,23,23,15,23,7,8,16,100%,30%
dsgdb9nsd_010841,17,17,13,17,8,5,9,100%,47%
dsgdb9nsd_026331,18,18,12,18,6,6,12,100%,33%
dsgdb9nsd_112203,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_042021,23,24,15,24,7,8,17,100%,29%
dsgdb9nsd_051949,18,18,14,18,8,6,10,100%,44%
dsgdb9nsd_029636,15,15,13,15,12,1,3,100%,80%
dsgdb9nsd_022581,14,14,11,14,8,3,6,100%,57%
dsgdb9nsd_040343,19,22,16,22,8,8,14,100%,36%
dsgdb9nsd_128742,17,18,12,18,6,6,12,100%,33%
dsgdb9nsd_099617,19,19,12,19,7,5,12,100%,37%
dsgdb9nsd_126634,20,20,11,20,6,5,14,100%,30%
dsgdb9nsd_110200,21,22,13,22,6,7,16,100%,27%
dsgdb9nsd_089022,20,20,12,20,6,6,14,100%,30%
dsgdb9nsd_006780,20,19,11,19,6,5,13,100%,32%
dsgdb9nsd_041487,19,21,13,21,6,7,15,100%,29%
dsgdb9nsd_026509,17,18,12,18,7,5,11,100%,39%
dsgdb9nsd_089459,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_111202,18,19,13,19,6,7,13,100%,32%
dsgdb9nsd_057606,22,22,12,22,4,8,18,100%,18%
dsgdb9nsd_112159,20,20,13,20,6,7,14,100%,30%
dsgdb9nsd_092894,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_099822,17,16,11,14,6,5,10,88%,38%
dsgdb9nsd_040154,18,20,14,20,8,6,12,100%,40%
dsgdb9nsd_044944,19,20,14,20,5,9,15,100%,25%
dsgdb9nsd_044747,15,16,12,16,4,8,12,100%,25%
dsgdb9nsd_098417,20,20,13,20,8,5,12,100%,40%
dsgdb9nsd_116056,21,21,14,21,6,8,15,100%,29%
dsgdb9nsd_100313,24,24,14,24,8,6,16,100%,33%
dsgdb9nsd_005329,19,19,12,18,4,8,15,95%,21%
dsgdb9nsd_115066,21,22,14,22,6,8,16,100%,27%
dsgdb9nsd_048074,15,16,12,16,5,7,11,100%,31%
dsgdb9nsd_000347,11,10,7,10,5,2,5,100%,50%
dsgdb9nsd_071024,17,20,11,19,4,7,16,95%,20%
dsgdb9nsd_067995,17,19,13,19,8,5,11,100%,42%
dsgdb9nsd_021634,13,13,10,13,7,3,6,100%,54%
dsgdb9nsd_121093,23,23,13,23,6,7,17,100%,26%
dsgdb9nsd_040765,20,22,12,22,6,6,16,100%,27%
dsgdb9nsd_112312,17,18,13,18,9,4,9,100%,50%
dsgdb9nsd_074210,17,17,13,17,8,5,9,100%,47%
dsgdb9nsd_020838,17,17,10,17,6,4,11,100%,35%
dsgdb9nsd_058582,25,25,14,25,6,8,19,100%,24%
dsgdb9nsd_047238,15,16,14,16,7,7,9,100%,44%
dsgdb9nsd_059902,19,18,11,17,6,5,12,94%,33%
dsgdb9nsd_022051,22,21,13,21,7,6,14,100%,33%
dsgdb9nsd_027407,16,16,13,16,10,3,6,100%,62%
dsgdb9nsd_107892,18,20,13,20,7,6,13,100%,35%
dsgdb9nsd_045990,14,14,11,14,8,3,6,100%,57%
dsgdb9nsd_009322,15,14,10,14,5,5,9,100%,36%
dsgdb9nsd_047489,19,20,11,20,6,5,14,100%,30%
dsgdb9nsd_016410,14,15,11,15,5,6,10,100%,33%
dsgdb9nsd_047005,19,20,13,20,6,7,14,100%,30%
dsgdb9nsd_091805,23,24,13,24,5,8,19,100%,21%
dsgdb9nsd_058356,21,21,14,21,6,8,15,100%,29%
dsgdb9nsd_023216,14,15,11,15,5,6,10,100%,33%
dsgdb9nsd_109570,18,18,15,18,8,7,10,100%,44%
dsgdb9nsd_026058,13,13,12,13,8,4,5,100%,62%
dsgdb9nsd_010307,20,19,11,19,6,5,13,100%,32%
dsgdb9nsd_026067,16,16,12,16,7,5,9,100%,44%
dsgdb9nsd_011563,21,21,12,21,8,4,13,100%,38%
dsgdb9nsd_095553,19,20,17,20,7,10,13,100%,35%
dsgdb9nsd_003693,12,12,8,12,6,2,6,100%,50%
dsgdb9nsd_027444,14,14,12,14,10,2,4,100%,71%
dsgdb9nsd_089768,19,20,11,20,4,7,16,100%,20%
dsgdb9nsd_007426,16,15,13,15,5,8,10,100%,33%
dsgdb9nsd_011891,14,15,9,14,6,3,9,93%,40%
dsgdb9nsd_025174,13,13,11,13,7,4,6,100%,54%
dsgdb9nsd_069898,16,18,13,18,7,6,11,100%,39%
dsgdb9nsd_123987,13,14,12,14,9,3,5,100%,64%
dsgdb9nsd_081974,18,19,19,19,8,11,11,100%,42%
dsgdb9nsd_025961,16,16,11,16,6,5,10,100%,38%
dsgdb9nsd_082177,21,23,17,23,8,9,15,100%,35%
dsgdb9nsd_040546,19,21,14,21,6,8,15,100%,29%
dsgdb9nsd_129933,17,18,11,18,7,4,11,100%,39%
dsgdb9nsd_007420,15,14,12,14,7,5,7,100%,50%
dsgdb9nsd_061976,17,16,11,16,6,5,10,100%,38%
dsgdb9nsd_097330,19,18,12,18,8,4,10,100%,44%
dsgdb9nsd_088762,19,21,14,21,5,9,16,100%,24%
dsgdb9nsd_027043,14,14,12,14,7,5,7,100%,50%
dsgdb9nsd_013528,16,16,13,16,7,6,9,100%,44%
dsgdb9nsd_074024,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_092198,21,23,13,23,5,8,18,100%,22%
dsgdb9nsd_092431,19,20,14,20,4,10,16,100%,20%
dsgdb9nsd_007437,19,18,14,18,8,6,10,100%,44%
dsgdb9nsd_067696,15,17,12,17,5,7,12,100%,29%
dsgdb9nsd_096220,17,17,14,17,7,7,10,100%,41%
dsgdb9nsd_108330,22,24,14,24,7,7,17,100%,29%
dsgdb9nsd_054390,15,16,9,15,4,5,12,94%,25%
dsgdb9nsd_084671,19,21,15,21,5,10,16,100%,24%
dsgdb9nsd_098284,23,23,12,23,5,7,18,100%,22%
dsgdb9nsd_072196,20,23,13,23,5,8,18,100%,22%
dsgdb9nsd_010594,13,13,10,13,4,6,9,100%,31%
dsgdb9nsd_082725,17,19,13,19,4,9,15,100%,21%
dsgdb9nsd_079995,17,18,15,18,6,9,12,100%,33%
dsgdb9nsd_044877,17,19,12,19,5,7,14,100%,26%
dsgdb9nsd_024441,17,18,13,18,7,6,11,100%,39%
dsgdb9nsd_012310,14,14,10,14,6,4,8,100%,43%
dsgdb9nsd_106345,21,22,12,22,7,5,15,100%,32%
dsgdb9nsd_019970,18,19,14,19,7,7,12,100%,37%
dsgdb9nsd_047491,19,20,14,20,9,5,11,100%,45%
dsgdb9nsd_072593,19,20,13,20,8,5,12,100%,40%
dsgdb9nsd_051066,19,21,12,21,6,6,15,100%,29%
dsgdb9nsd_100604,18,17,13,17,9,4,8,100%,53%
dsgdb9nsd_003831,11,11,9,11,6,3,5,100%,55%
dsgdb9nsd_113793,24,25,13,25,6,7,19,100%,24%
dsgdb9nsd_047255,16,16,11,16,5,6,11,100%,31%
dsgdb9nsd_111890,19,20,14,20,8,6,12,100%,40%
dsgdb9nsd_040125,19,21,14,21,6,8,15,100%,29%
dsgdb9nsd_007796,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_076260,21,21,13,21,6,7,15,100%,29%
dsgdb9nsd_073147,20,22,14,22,8,6,14,100%,36%
dsgdb9nsd_096819,16,16,11,16,7,4,9,100%,44%
dsgdb9nsd_024525,15,16,14,16,8,6,8,100%,50%
dsgdb9nsd_086453,20,20,14,20,6,8,14,100%,30%
dsgdb9nsd_117570,18,18,10,17,5,5,13,94%,28%
dsgdb9nsd_113533,16,17,14,16,9,5,8,94%,53%
dsgdb9nsd_029274,17,18,13,18,8,5,10,100%,44%
dsgdb9nsd_090758,18,19,14,19,7,7,12,100%,37%
dsgdb9nsd_077600,19,20,13,20,9,4,11,100%,45%
dsgdb9nsd_055471,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_013754,15,15,11,15,5,6,10,100%,33%
dsgdb9nsd_065108,20,22,13,22,5,8,17,100%,23%
dsgdb9nsd_064365,23,24,13,24,8,5,16,100%,33%
dsgdb9nsd_011362,17,17,11,17,7,4,10,100%,41%
dsgdb9nsd_107866,16,18,10,18,5,5,13,100%,28%
dsgdb9nsd_108778,18,18,13,18,8,5,10,100%,44%
dsgdb9nsd_045886,17,18,15,18,9,6,9,100%,50%
dsgdb9nsd_013203,18,18,12,18,5,7,13,100%,28%
dsgdb9nsd_104830,19,19,14,19,8,6,11,100%,42%
dsgdb9nsd_106823,19,20,12,20,6,6,14,100%,30%
dsgdb9nsd_061715,19,19,13,19,7,6,12,100%,37%
dsgdb9nsd_013158,13,13,9,13,4,5,9,100%,31%
dsgdb9nsd_076461,18,18,14,18,7,7,11,100%,39%
dsgdb9nsd_127895,13,11,11,10,8,3,3,91%,73%
dsgdb9nsd_085368,19,19,14,19,6,8,13,100%,32%
dsgdb9nsd_076663,21,21,12,21,4,8,17,100%,19%
dsgdb9nsd_104328,21,21,16,20,8,8,13,95%,38%
dsgdb9nsd_009402,20,19,14,19,7,7,12,100%,37%
dsgdb9nsd_107637,19,20,13,20,7,6,13,100%,35%
dsgdb9nsd_129019,13,14,11,14,5,6,9,100%,36%
dsgdb9nsd_024726,19,20,14,20,9,5,11,100%,45%
dsgdb9nsd_019898,15,17,14,17,6,8,11,100%,35%
dsgdb9nsd_119981,24,24,17,24,7,10,17,100%,29%
dsgdb9nsd_027460,14,14,12,14,7,5,7,100%,50%
dsgdb9nsd_018012,20,21,14,21,6,8,15,100%,29%
dsgdb9nsd_007690,22,23,13,23,7,6,16,100%,30%
dsgdb9nsd_040242,19,21,13,21,5,8,16,100%,24%
dsgdb9nsd_027776,15,15,12,15,9,3,6,100%,60%
dsgdb9nsd_058759,19,20,14,20,7,7,13,100%,35%
dsgdb9nsd_074806,15,16,11,16,5,6,11,100%,31%
dsgdb9nsd_043803,17,19,13,19,8,5,11,100%,42%
dsgdb9nsd_019824,16,18,13,18,4,9,14,100%,22%
dsgdb9nsd_127869,15,15,11,14,9,2,6,93%,60%
dsgdb9nsd_041313,17,20,13,20,4,9,16,100%,20%
dsgdb9nsd_126164,18,18,9,17,4,5,14,94%,22%
dsgdb9nsd_107146,22,24,13,24,8,5,16,100%,33%
dsgdb9nsd_065651,21,22,12,22,5,7,17,100%,23%
dsgdb9nsd_050360,19,20,14,20,5,9,15,100%,25%
dsgdb9nsd_045858,18,19,12,19,7,5,12,100%,37%
dsgdb9nsd_064325,22,22,13,22,5,8,17,100%,23%
dsgdb9nsd_095058,18,19,14,19,5,9,14,100%,26%
dsgdb9nsd_007775,20,20,13,20,6,7,14,100%,30%
dsgdb9nsd_029842,15,15,11,15,8,3,7,100%,53%
dsgdb9nsd_051414,17,18,14,18,6,8,12,100%,33%
dsgdb9nsd_064829,17,17,11,16,4,7,13,94%,24%
dsgdb9nsd_041256,15,18,11,18,3,8,15,100%,17%
dsgdb9nsd_123577,16,18,14,18,8,6,10,100%,44%
dsgdb9nsd_102051,25,24,15,24,6,9,18,100%,25%
dsgdb9nsd_009633,17,17,10,17,4,6,13,100%,24%
dsgdb9nsd_131938,14,14,11,14,8,3,6,100%,57%
dsgdb9nsd_042849,17,19,13,18,4,9,15,95%,21%
dsgdb9nsd_104280,23,23,13,23,7,6,16,100%,30%
dsgdb9nsd_022796,16,16,13,16,6,7,10,100%,38%
dsgdb9nsd_044415,17,19,13,19,5,8,14,100%,26%
dsgdb9nsd_068329,19,20,10,20,4,6,16,100%,20%
dsgdb9nsd_075513,18,18,13,18,8,5,10,100%,44%
dsgdb9nsd_064361,21,21,13,21,6,7,15,100%,29%
dsgdb9nsd_067264,18,21,15,21,5,10,16,100%,24%
dsgdb9nsd_083700,23,24,15,24,6,9,18,100%,25%
dsgdb9nsd_023068,17,19,14,19,8,6,11,100%,42%
dsgdb9nsd_054575,17,19,10,19,4,6,15,100%,21%
dsgdb9nsd_112971,24,25,13,24,6,7,19,96%,24%
dsgdb9nsd_129197,13,13,11,12,6,5,7,92%,46%
dsgdb9nsd_009529,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_062474,19,20,11,20,6,5,14,100%,30%
dsgdb9nsd_108283,18,19,13,19,6,7,13,100%,32%
dsgdb9nsd_073269,21,22,13,22,8,5,14,100%,36%
dsgdb9nsd_112269,19,19,14,19,6,8,13,100%,32%
dsgdb9nsd_045528,18,19,15,19,7,8,12,100%,37%
dsgdb9nsd_041848,18,19,14,19,9,5,10,100%,47%
dsgdb9nsd_009936,15,15,11,15,5,6,10,100%,33%
dsgdb9nsd_027181,16,17,12,17,9,3,8,100%,53%
dsgdb9nsd_062471,20,21,11,21,6,5,15,100%,29%
dsgdb9nsd_089285,20,21,12,21,5,7,16,100%,24%
dsgdb9nsd_107431,19,21,13,21,6,7,15,100%,29%
dsgdb9nsd_075782,17,17,11,17,7,4,10,100%,41%
dsgdb9nsd_106422,20,22,12,22,7,5,15,100%,32%
dsgdb9nsd_085061,21,21,12,21,4,8,17,100%,19%
dsgdb9nsd_090055,18,20,10,20,5,5,15,100%,25%
dsgdb9nsd_075054,17,17,11,17,7,4,10,100%,41%
dsgdb9nsd_043368,17,18,12,18,5,7,13,100%,28%
dsgdb9nsd_071744,19,22,15,22,5,10,17,100%,23%
dsgdb9nsd_024445,16,17,13,17,7,6,10,100%,41%
dsgdb9nsd_050854,18,18,13,18,9,4,9,100%,50%
dsgdb9nsd_120379,23,23,16,23,7,9,16,100%,30%
dsgdb9nsd_075855,14,14,9,13,6,3,8,93%,43%
dsgdb9nsd_020874,18,18,12,18,7,5,11,100%,39%
dsgdb9nsd_011721,17,18,12,18,7,5,11,100%,39%
dsgdb9nsd_101570,25,24,14,24,6,8,18,100%,25%
dsgdb9nsd_023053,20,21,11,21,6,5,15,100%,29%
dsgdb9nsd_040599,20,23,13,23,4,9,19,100%,17%
dsgdb9nsd_130641,14,15,11,15,6,5,9,100%,40%
dsgdb9nsd_021707,12,12,11,12,11,0,1,100%,92%
dsgdb9nsd_017138,19,20,11,20,6,5,14,100%,30%
dsgdb9nsd_089374,22,23,15,23,7,8,16,100%,30%
dsgdb9nsd_025774,15,15,10,15,6,4,9,100%,40%
dsgdb9nsd_013198,18,18,10,17,5,5,13,94%,28%
dsgdb9nsd_109260,23,24,14,24,6,8,18,100%,25%
dsgdb9nsd_045938,15,16,11,16,5,6,11,100%,31%
dsgdb9nsd_063130,17,18,12,18,6,6,12,100%,33%
dsgdb9nsd_024718,16,18,15,18,9,6,9,100%,50%
dsgdb9nsd_043809,15,16,10,16,4,6,12,100%,25%
dsgdb9nsd_047230,16,17,12,17,5,7,12,100%,29%
dsgdb9nsd_094314,21,22,12,22,7,5,15,100%,32%
dsgdb9nsd_041244,18,21,13,21,6,7,15,100%,29%
dsgdb9nsd_108982,19,20,15,20,7,8,13,100%,35%
dsgdb9nsd_026159,19,19,15,19,9,6,10,100%,47%
dsgdb9nsd_041528,21,22,13,21,5,8,17,95%,23%
dsgdb9nsd_028419,17,17,12,17,8,4,9,100%,47%
dsgdb9nsd_075261,21,22,14,22,6,8,16,100%,27%
dsgdb9nsd_040840,19,20,15,20,10,5,10,100%,50%
dsgdb9nsd_025868,12,12,10,12,7,3,5,100%,58%
dsgdb9nsd_076545,23,24,14,24,5,9,19,100%,21%
dsgdb9nsd_004849,15,15,11,15,9,2,6,100%,60%
dsgdb9nsd_093504,20,20,15,20,9,6,11,100%,45%
dsgdb9nsd_024948,13,14,12,14,8,4,6,100%,57%
dsgdb9nsd_131989,12,12,11,12,7,4,5,100%,58%
dsgdb9nsd_062373,18,19,13,19,5,8,14,100%,26%
dsgdb9nsd_074253,16,17,10,17,5,5,12,100%,29%
dsgdb9nsd_103011,17,17,13,17,7,6,10,100%,41%
